name,category_name,category_tax,price
Product_1,Laptops,20,2150.88
Product_2,Laptops,20,6381.13
Product_3,Laptops,20,2300.74
Product_4,Smartphones,15,5169.93
Product_5,Laptops,20,8094.03
Product_6,Smartphones,15,4918.28
Product_7,TV,18,8794.47
Product_8,Laptops,20,3871.90
Product_9,Laptops,20,4110.52
Product_10,Accessories,10,9219.69
Product_11,Smartphones,15,4959.88
Product_12,Laptops,20,8646.92
Product_13,Laptops,20,5391.77
Product_14,Laptops,20,2102.72
Product_15,Smartphones,15,203.28
Product_16,TV,18,5981.65
Product_17,Smartphones,15,6412.50
Product_18,Laptops,20,3861.92
Product_19,Accessories,10,4699.05
Product_20,Laptops,20,9755.67
Product_21,TV,18,6620.10
Product_22,Laptops,20,9642.69
Product_23,Accessories,10,2747.76
Product_24,Smartphones,15,6142.78
Product_25,TV,18,2424.02
Product_26,Accessories,10,5512.08
Product_27,Accessories,10,1500.99
Product_28,Accessories,10,5305.21
Product_29,Smartphones,15,2840.13
Product_30,Smartphones,15,6130.65
Product_31,Accessories,10,8038.95
Product_32,Laptops,20,6402.11
Product_33,Smartphones,15,1050.49
Product_34,TV,18,9288.45
Product_35,Laptops,20,8234.53
Product_36,Smartphones,15,9375.76
Product_37,Laptops,20,465.30
Product_38,Accessories,10,10027.01
Product_39,Laptops,20,156.11
Product_40,Laptops,20,1546.74
Product_41,Laptops,20,4675.46
Product_42,Accessories,10,1729.11
Product_43,TV,18,887.74
Product_44,Laptops,20,9119.18
Product_45,Accessories,10,6650.27
Product_46,Accessories,10,232.40
Product_47,Laptops,20,3009.59
Product_48,Accessories,10,591.13
Product_49,Accessories,10,3029.06
Product_50,Smartphones,15,7940.16
Product_51,Accessories,10,2008.67
Product_52,Accessories,10,2322.79
Product_53,Smartphones,15,8388.33
Product_54,Accessories,10,2381.43
Product_55,Laptops,20,128.83
Product_56,Accessories,10,2220.60
Product_57,TV,18,8362.17
Product_58,Laptops,20,5680.66
Product_59,Smartphones,15,6286.22
Product_60,Accessories,10,1559.78
Product_61,TV,18,1317.47
Product_62,Laptops,20,4425.78
Product_63,Accessories,10,8153.56
Product_64,Accessories,10,5831.60
Product_65,Accessories,10,4991.78
Product_66,Laptops,20,6876.43
Product_67,Smartphones,15,424.49
Product_68,Smartphones,15,7686.51
Product_69,Accessories,10,4786.63
Product_70,TV,18,2179.92
Product_71,Laptops,20,8436.03
Product_72,Accessories,10,5903.12
Product_73,Smartphones,15,2760.82
Product_74,Laptops,20,256.43
Product_75,Laptops,20,8961.60
Product_76,TV,18,9838.44
